lga_canonical,lga_code,year,ndvi,nlr,no2,population,urbanicity_index,htn,cvd,dm,pct_unskilled,pct_semiskilled,z_ndvi,z_nlr,z_no2,z_pct_unskilled,log_pop,lga_idx,year_idx
Lagos Mainland,15,2023,0.133707,17.319512,7.7e-05,502166.6666666667,0.9632490369842408,11,9,7,15.625,56.25,-1.2344318477527767,0.9137009734521869,0.741614289747759,0.007788343552525446,13.126687348884383,14,2
Lagos Mainland,15,2024,0.161644,17.807572,7.2e-05,520733.3333333333,0.9559852792060588,8,3,3,15.625,56.25,-1.118331261329682,0.840310257045022,0.9093143192434721,0.007788343552525446,13.162993353490224,14,3
Lagos Mainland,15,2025,0.133869,22.090814,6.7e-05,539300.0,1.0691015975076026,11,5,5,15.625,56.25,-1.3073936098338383,1.1404391707833952,0.7594720119055745,0.007788343552525446,13.198027281325318,14,4
Mushin,16,2021,0.158887,17.561983,0.000101,2119595.0,1.1195161196337602,0,0,19,14.285714285714285,69.17293233082707,-0.9434723108544197,1.1020136724148388,1.313062375632022,-0.278616650736186,14.566735590662313,15,0
Mushin,16,2022,0.167293,18.022237,9.5e-05,2187482.0,1.0473472115188809,5,3,9,14.285714285714285,69.17293233082707,-0.7967615501931715,1.0396358473214815,1.305644237041989,-0.278616650736186,14.598261668608624,15,1
Mushin,16,2023,0.180516,18.448941,8.7e-05,2257565.0,1.052367818690913,14,5,15,14.285714285714285,69.17293233082707,-0.8549232343965363,1.0836435591003026,1.2185366625759,-0.278616650736186,14.629797356771283,15,2
Mushin,16,2024,0.194323,19.927296,7.6e-05,2329907.0,1.0423537346048748,12,6,10,14.285714285714285,69.17293233082707,-0.8405375204849308,1.1512927630319423,1.1352309202977506,-0.278616650736186,14.661338910582202,15,3
Mushin,16,2025,0.20385,21.789619,7.7e-05,2404572.0,1.0218824754036215,23,14,5,14.285714285714285,69.17293233082707,-0.6187188670176503,1.100991673229281,1.345936885963933,-0.278616650736186,14.692882483106818,15,4
Ojo,17,2021,0.444297,2.763967,3.5e-05,1513045.0,-1.3263415625724049,0,0,56,13.333333333333334,66.96969696969697,1.3473403032524531,-1.2617090885267082,-1.3699752959380531,-0.4822824244526026,14.229634734562174,16,0
Ojo,17,2022,0.398474,2.904288,3.5e-05,1562143.0,-1.2997484619710702,13,5,30,13.333333333333334,66.96969696969697,1.3224022936642883,-1.249255254584378,-1.3275878376645445,-0.4822824244526026,14.261569154487162,16,1
Ojo,17,2023,0.443295,2.879003,3.5e-05,1612892.0,-1.2653908299358634,38,19,23,13.333333333333334,66.96969696969697,1.275583589272832,-1.2591292244043246,-1.261459676130433,-0.4822824244526026,14.293539398883054,16,2
Ojo,17,2024,0.441928,3.089653,3e-05,1665348.0,-1.3486746125121674,27,14,19,13.333333333333334,66.96969696969697,1.2642734958210973,-1.3189403498889518,-1.4628099918264532,-0.4822824244526026,14.32554466856635,16,3
Ojo,17,2025,0.404272,3.405601,3e-05,1719559.0,-1.3569402684172156,50,30,23,13.333333333333334,66.96969696969697,1.35361032668787,-1.3067624564534244,-1.4104480221103521,-0.4822824244526026,14.357578420565892,16,4
Oshodi/Isolo,18,2021,0.232498,11.843844,8.8e-05,1823154.0,0.4419561191199913,0,0,52,12.990936555891238,68.8821752265861,-0.352641550414978,0.188641548440413,0.7845852585045828,-0.5555036542781424,14.416078526231125,17,0
Oshodi/Isolo,18,2022,0.221567,12.921453,8e-05,1882119.0,0.4046502696932955,13,4,24,12.990936555891238,68.8821752265861,-0.299248785469774,0.2673658052447567,0.6473362183653557,-0.5555036542781424,14.44790882773423,17,1
Oshodi/Isolo,18,2023,0.268309,13.743983,7.4e-05,1943027.0,0.3724565647880897,54,19,21,12.990936555891238,68.8821752265861,-0.1431327733231443,0.37569934314180836,0.5985375778993165,-0.5555036542781424,14.479757624300085,17,2
Oshodi/Isolo,18,2024,0.277837,14.529948,6.8e-05,2005924.0,0.3911542817365215,37,23,15,12.990936555891238,68.8821752265861,-0.13061168208998059,0.3594534449303908,0.6833977181891933,-0.5555036542781424,14.511615360445335,17,3
Oshodi/Isolo,18,2025,0.287453,15.42574,5.8e-05,2070853.0,0.0983866481441726,46,30,10,12.990936555891238,68.8821752265861,0.20400836642659548,0.2675146856060616,0.2316536252530517,-0.5555036542781424,14.543471157655707,17,4
Shomolu,19,2021,0.14774,19.338427,0.000104,1644314.0,1.2845768309284722,0,0,30,19.1358024691358,62.96296296296296,-1.0329425053446244,1.385769354010131,1.4350186334306614,0.7585701598566776,14.31283383392746,18,0
Shomolu,19,2022,0.14267,20.360859,9.7e-05,1696908.0,1.2698666468646838,8,0,7,19.1358024691358,62.96296296296296,-1.0224728816923097,1.3937084193695344,1.3934186395322066,0.7585701598566776,14.344318329429148,18,1
Shomolu,19,2023,0.168897,21.682476,9e-05,1751189.0,1.293641647607641,20,7,16,19.1358024691358,62.96296296296296,-0.9491254300979219,1.5701861383006586,1.3616133744243424,0.7585701598566776,14.375805543764027,18,2
Shomolu,19,2024,0.180523,21.765463,7.7e-05,1807227.0,1.1901751057212793,16,10,7,19.1358024691358,62.96296296296296,-0.9578469125611134,1.420968334041404,1.1917100705613202,0.7585701598566776,14.40730418426337,18,3
Shomolu,19,2025,0.15466,23.437857,8.1e-05,1865078.0,1.333392004820101,31,7,11,19.1358024691358,62.96296296296296,-1.1027918382402435,1.3168613406327818,1.5805228355872765,0.7585701598566776,14.438813433241794,18,4
Surulere,20,2021,0.166541,15.055288,8.3e-05,2052160.0,0.7216587906474551,0,0,45,22.413793103448278,55.172413793103445,-0.8820383045183628,0.7016132385838187,0.5813248288401832,1.4595653835677174,14.534403454942636,19,0
Surulere,20,2022,0.159628,15.71638,7.7e-05,2118869.0,0.6910742630147712,11,2,14,22.413793103448278,55.172413793103445,-0.8670242052693561,0.6905239691449285,0.5156746146300288,1.4595653835677174,14.566393013725433,19,1
Surulere,20,2023,0.151439,16.192694,6.8e-05,2187761.0,0.71573443700102,13,10,13,22.413793103448278,55.172413793103445,-1.090667897827915,0.7441512589727126,0.31238415420243215,1.4595653835677174,14.598389204382238,19,2
Surulere,20,2024,0.175013,16.948797,6.3e-05,2258909.0,0.7066692994605055,24,16,5,22.413793103448278,55.172413793103445,-1.004685662585734,0.7143202689244375,0.40100196687134504,1.4595653835677174,14.630392511327546,19,3
Surulere,20,2025,0.162287,19.505904,5.9e-05,2332394.0,0.7066430512375543,18,5,10,22.413793103448278,55.172413793103445,-1.0277354334523858,0.8018936076013898,0.2903001126588874,1.4595653835677174,14.662405765869275,19,4
