disease,scenario,lga_canonical,cases_status_quo_mean,cases_scenario_mean,cases_avoided_median,cases_avoided_mean,cases_avoided_2.5,cases_avoided_97.5,P_avoided_gt_0,significant_95
htn,combined_no2m20_ndvip20,Ojo,12.714324382633926,11.705736700330153,0.9386315337732976,1.0085876823037716,-1.9257460005025937,4.152691072851307,0.786,no
htn,combined_no2m20_ndvip20,Oshodi/Isolo,15.819828237543549,12.140742704192878,3.2214369677847428,3.679085533350672,0.7364272583635343,9.297885711147739,0.992,yes
htn,combined_no2m20_ndvip20,Shomolu,7.907941817708621,5.641578233617909,1.9808386493453478,2.2663635840907115,0.4461235433671245,5.583769314625376,0.994,yes
htn,combined_no2m20_ndvip20,Surulere,6.494522447338373,5.046915969367177,1.312683421177221,1.4476064779711961,0.2980532724752889,3.68024626294527,0.994,yes
htn,combined_no2m20_ndvip20,LAGOS STATE,244.58687862195669,192.40322375781486,46.28277996130378,52.18365486414181,10.744019985462991,132.30326000005215,0.994,yes
cvd,status_quo,Agege,7.501790859262519,7.501790859262519,0.0,0.0,0.0,0.0,0.0,no
cvd,status_quo,Ajeromi/Ifelodun,0.13698552521656993,0.13698552521656993,0.0,0.0,0.0,0.0,0.0,no
cvd,status_quo,Alimosho,30.105688967490572,30.105688967490572,0.0,0.0,0.0,0.0,0.0,no
cvd,status_quo,Amuwo Odofin,1.0883077342729177,1.0883077342729177,0.0,0.0,0.0,0.0,0.0,no
cvd,status_quo,Apapa,0.7089896689189484,0.7089896689189484,0.0,0.0,0.0,0.0,0.0,no
cvd,status_quo,Badagry,1.7256492623846487,1.7256492623846487,0.0,0.0,0.0,0.0,0.0,no
